team_name,team_seed,team_score,opponent_score,projected_wins_team1,projected_wins_team2
ALA,2,65,85,878,122
HOU,1,69,50,458,542
TENN,2,50,69,542,458
FLA,1,84,79,530,470
TTU,3,79,84,470,530
AUB,1,73,79,304,696
FLA,1,79,73,696,304
DUKE,1,67,70,595,405
HOU,1,70,67,405,595
FLA,1,65,63,617,383
HOU,1,63,65,383,617
