Bracket,Round,Game_ID,Winner,Model_Favorite,Is_Upset
6,1,20,Arkansas,Arkansas,False
6,1,21,BYU,BYU,False
6,1,22,Gonzaga,Gonzaga,False
6,1,23,Miami,Miami,False
6,1,24,Purdue,Purdue,False
6,1,25,Michigan,Michigan,False
6,1,26,Saint Louis,Saint Louis,False
6,1,27,Texas Tech,Texas Tech,False
6,1,28,Alabama,Alabama,False
6,1,29,Tennessee,Tennessee,False
6,1,30,Virginia,Virginia,False
6,1,31,Kentucky,Kentucky,False
6,1,32,Iowa State,Iowa State,False
6,2,33,Duke,Duke,False
6,2,34,St. John's,St. John's,False
6,2,35,Michigan State,Michigan State,False
6,2,36,UCLA,UCLA,False
6,2,37,Florida,Florida,False
6,2,38,Vanderbilt,Vanderbilt,False
6,2,39,Penn,VCU,True
6,2,40,Saint Mary's,Saint Mary's,False
6,2,41,Arizona,Arizona,False
6,2,42,Arkansas,Arkansas,False
6,2,43,BYU,Gonzaga,True
6,2,44,Purdue,Purdue,False
6,2,45,Michigan,Michigan,False
6,2,46,Texas Tech,Texas Tech,False
6,2,47,Tennessee,Virginia,True
6,2,48,Iowa State,Iowa State,False
6,3,49,Duke,Duke,False
6,3,50,UCLA,UCLA,False
6,3,51,Vanderbilt,Vanderbilt,False
6,3,52,Saint Mary's,Saint Mary's,False
6,3,53,Arizona,Arizona,False
6,3,54,Purdue,Purdue,False
6,3,55,Michigan,Michigan,False
6,3,56,Tennessee,Iowa State,True
6,4,57,UCLA,Duke,True
6,4,58,Vanderbilt,Saint Mary's,True
6,4,59,Purdue,Purdue,False
6,4,60,Michigan,Michigan,False
6,5,61,UCLA,Vanderbilt,True
6,5,62,Michigan,Michigan,False
6,6,63,Michigan,Michigan,False
7,1,1,Duke,Duke,False
7,1,2,TCU,Ohio State,True
7,1,3,Northern Iowa,St. John's,True
7,1,4,California Baptist,Kansas,True
7,1,5,Louisville,Louisville,False
7,1,6,Michigan State,Michigan State,False
7,1,7,UCLA,UCLA,False
7,1,8,Connecticut,Connecticut,False
7,1,9,Florida,Florida,False
7,1,10,Clemson,Clemson,False
7,1,11,Vanderbilt,Vanderbilt,False
7,1,12,Nebraska,Nebraska,False
7,1,13,North Carolina,North Carolina,False
7,1,14,Illinois,Illinois,False
7,1,15,Saint Mary's,Saint Mary's,False
7,1,16,Houston,Houston,False
