Team,Seed,Points Scored,Opponent Points,Pred Win Prob,Chalk Win Prob
OU,9,59,67,0.3340186040702404,0.0
MEM,5,70,78,0.4338618223757548,1.0
CSU,12,78,70,0.5661381776242452,0.0
MD,4,81,49,0.9409791176760702,1.0
GCU,13,49,81,0.059020882323929734,0.0
MIZ,6,57,67,0.6497046136008204,1.0
DRKE,11,67,57,0.35029538639917956,0.0
TTU,3,82,72,0.9244592476393473,1.0
UNCW,14,72,82,0.07554075236065277,0.0
KU,7,72,79,0.7888446380919001,1.0
ARK,10,79,72,0.21115536190809991,0.0
SJU,2,83,53,0.9161644748515502,1.0
OMA,15,53,83,0.08383552514844989,0.0
AUB,1,82,70,0.8084500808243253,1.0
CREI,9,70,82,0.19154991917567468,0.0
MICH,5,91,79,0.642108238230689,0.0
TA&M,4,79,91,0.357891761769311,1.0
MISS,6,91,78,0.5019572679496043,0.0
ISU,3,78,91,0.49804273205039573,1.0
UNM,10,63,71,0.06778014096651394,0.0
MSU,2,71,63,0.932219859033486,1.0
DUKE,1,89,66,0.8282593097853514,1.0
BAY,9,66,89,0.17174069021464847,0.0
ORE,5,83,87,0.36777801414265654,0.0
ARIZ,4,87,83,0.6322219858573436,1.0
BYU,6,91,89,0.1345150910150511,0.0
WIS,3,89,91,0.8654849089849489,1.0
SMC,7,66,80,0.4499210745314079,0.0
ALA,2,80,66,0.550078925468592,1.0
HOU,1,81,76,0.6016830367204321,1.0
GONZ,8,76,81,0.39831696327956795,0.0
MCN,12,62,76,0.11363320738010514,0.0
PUR,4,76,62,0.8863667926198948,1.0
ILL,6,75,84,0.3663933984406152,0.0
UK,3,84,75,0.6336066015593848,1.0
UCLA,7,58,67,0.16262769570042584,0.0
TENN,2,67,58,0.8373723042995741,1.0
FLA,1,77,75,0.7915891750068669,1.0
CONN,8,75,77,0.2084108249931331,0.0
CSU,12,71,72,0.14547891372712618,0.0
MD,4,72,71,0.8545210862728737,1.0
DRKE,11,64,77,0.16712491374974803,0.0
TTU,3,77,64,0.832875086250252,1.0
ARK,10,75,66,0.19452584288610722,0.0
SJU,2,66,75,0.8054741571138928,1.0
AUB,1,78,65,0.8248552082375414,1.0
MICH,5,65,78,0.17514479176245862,0.0
MISS,6,70,73,0.21871553905432187,0.0
MSU,2,73,70,0.781284460945678,1.0
DUKE,1,100,93,0.5625880513133188,1.0
ARIZ,4,93,100,0.4374119486866812,0.0
BYU,6,88,113,0.18265057829960618,0.0
ALA,2,113,88,0.8173494217003938,1.0
HOU,1,62,60,0.7957828405821958,1.0
PUR,4,60,62,0.20421715941780422,0.0
UK,3,65,78,0.41496406748324416,0.0
TENN,2,78,65,0.5850359325167559,1.0
FLA,1,87,71,0.5905120724634509,1.0
MD,4,71,87,0.4094879275365491,0.0
TTU,3,85,83,0.8803628406376711,1.0
ARK,10,83,85,0.11963715936232888,0.0
AUB,1,70,64,0.488785168755269,1.0
MSU,2,64,70,0.511214831244731,0.0
DUKE,1,85,65,0.5106690645189932,1.0
ALA,2,65,85,0.48933093548100687,0.0
HOU,1,69,50,0.616970214602558,1.0
TENN,2,50,69,0.3830297853974421,0.0
FLA,1,84,79,0.541242583295814,1.0
TTU,3,79,84,0.45875741670418607,0.0
AUB,1,73,79,0.43867286974577374,0.5
FLA,1,79,73,0.5613271302542263,0.5
DUKE,1,67,70,0.30105456958765064,0.5
HOU,1,70,67,0.6989454304123494,0.5
FLA,1,65,63,0.38742715200801936,0.5
HOU,1,63,65,0.6125728479919806,0.5
