SEED,SEED_DIFF,MC_WIN_PROB,MC_WIN_MARGIN,PROJECTED_POSSESSIONS,FT_RATE_DIFF,3PT_RATE_DIFF,WIN
2,-13,0.723,446,65.50851148301194,-0.025270912034538573,0.08818969239071778,1
9,8,0.582,164,66.05923526681033,-0.017803707742639063,-0.037638676844783725,0
1,-8,0.418,-164,66.05923526681033,0.017803707742639063,0.037638676844783725,1
13,8,0.519,38,65.34018021478822,-0.0681507800648547,-0.029821886351300564,0
5,-8,0.481,-38,65.34018021478822,0.0681507800648547,0.029821886351300564,1
11,8,0.245,-510,64.93712170914546,-0.041705231769380624,0.0027514479130082425,0
3,-8,0.755,510,64.93712170914546,0.041705231769380624,-0.0027514479130082425,1
7,5,0.14,-720,63.778881665309896,-0.025216764090006838,0.0040106813267764,0
2,-5,0.86,720,63.778881665309896,0.025216764090006838,-0.0040106813267764,1
9,8,0.229,-542,67.38050362140888,-0.06804016588838446,-0.057094765372432354,0
1,-8,0.771,542,67.38050362140888,0.06804016588838446,0.057094765372432354,1
12,8,0.2,-600,70.95596129970679,0.06295672054970586,-0.10192812299174447,0
4,-8,0.8,600,70.95596129970679,-0.06295672054970586,0.10192812299174447,1
3,-3,0.501,2,68.27250689402712,0.048195180224677725,-0.01230145420294515,0
6,3,0.499,-2,68.27250689402712,-0.048195180224677725,0.01230145420294515,1
7,5,0.431,-138,68.26426228884685,0.010241758241758103,0.10694688644688627,0
2,-5,0.569,138,68.26426228884685,-0.010241758241758103,-0.10694688644688627,1
9,8,0.786,572,70.03638143524438,0.06169012554144332,0.009206724910065356,0
1,-8,0.214,-572,70.03638143524438,-0.06169012554144332,-0.009206724910065356,1
12,8,0.414,-172,67.52892272355878,-0.007817936452471946,0.0033393418722060253,0
4,-8,0.586,172,67.52892272355878,0.007817936452471946,-0.0033393418722060253,1
14,3,0.725,450,69.32144279980325,-0.004036340234417846,0.07941776207689766,0
11,-3,0.275,-450,69.32144279980325,0.004036340234417846,-0.07941776207689766,1
10,8,0.464,-72,68.63859633495142,0.09792891717895347,-0.10478815528341168,0
2,-8,0.536,72,68.63859633495142,-0.09792891717895347,0.10478815528341168,1
8,7,0.405,-190,68.11135854778306,-0.020381441010335122,-0.013459362127229202,0
1,-7,0.595,190,68.11135854778306,0.020381441010335122,0.013459362127229202,1
4,-1,0.505,10,69.09926572750288,0.011326106194690322,-0.013572732300884904,0
5,1,0.495,-10,69.09926572750288,-0.011326106194690322,0.013572732300884904,1
11,8,0.257,-486,69.0315644332799,0.03456986232158654,-0.12329533914361485,0
3,-8,0.743,486,69.0315644332799,-0.03456986232158654,0.12329533914361485,1
7,5,0.288,-424,67.84769705687809,-0.02298797767282093,-0.06341155002146842,0
2,-5,0.712,424,67.84769705687809,0.02298797767282093,0.06341155002146842,1
5,4,0.427,-146,64.14402416075461,0.025983942414175037,-0.02372868217054258,0
1,-4,0.573,146,64.14402416075461,-0.025983942414175037,0.02372868217054258,1
2,-1,0.658,316,64.71410934894945,-0.02464394314046231,-0.06741384207656509,0
3,1,0.342,-316,64.71410934894945,0.02464394314046231,0.06741384207656509,1
1,-3,0.327,-346,71.61001464943139,0.0022440630007650175,-0.10275944506200474,0
4,3,0.673,346,71.61001464943139,-0.0022440630007650175,0.10275944506200474,1
2,-4,0.543,86,70.61568266439622,0.02058271673879669,-0.06327516403741434,0
6,4,0.457,-86,70.61568266439622,-0.02058271673879669,0.06327516403741434,1
